DHL,Express Domestic,1 Dia(s) aprox.,149.08,22.36,171.44
FEDEX,Standard Overnight / Sin recolección,1 Dia aprox.,194.31,29.15,223.46
FEDEX,Standard Overnight,4 Dia(s) aprox.,129.35,19.4,148.75
